Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year
One year,True,True,Fiber Optic,True,False,True,True,False,False,False,True,True,Credit Card (automatic),6.795512947,172.455519,904.5361102
Month-to-month,False,True,Fiber Optic,True,True,True,False,False,False,True,True,True,Bank Transfer(automatic),1.156680997,242.632554,800.9827661
Two Year,True,False,DSL,True,True,False,False,False,False,False,True,True,Credit Card (automatic),15.75414408,159.947583,2054.706961
Two Year,False,False,DSL,True,False,True,False,False,False,True,False,True,Mailed Check,17.08722662,119.95684,2164.579412
Month-to-month,True,False,Fiber Optic,False,False,False,False,False,True,True,False,False,Mailed Check,1.670971726,149.948316,271.4934362
One year,True,False,None,True,True,True,True,True,False,False,True,False,Electronic Check,7.000993555,185.007692,1039.357983
Month-to-month,False,False,DSL,True,False,False,False,False,True,True,True,False,Electronic Check,13.23677381,200.118516,1907.242972
Month-to-month,False,False,DSL,False,False,False,True,False,False,False,False,True,Mailed Check,4.26425515,114.950905,979.6127078
Month-to-month,True,False,DSL,True,False,True,True,False,False,False,False,True,Bank Transfer(automatic),8.220686373,117.468591,1312.874964
Two Year,True,False,Fiber Optic,True,False,True,False,True,False,False,True,True,Mailed Check,3.422086139,162.482694,508.7637913
Month-to-month,False,False,DSL,True,True,True,True,False,False,True,False,False,Mailed Check,19.26726194,174.958118,2728.767869
Month-to-month,True,False,Fiber Optic,True,False,False,False,True,False,True,False,False,Electronic Check,10.52199781,149.962093,1180.588788
Month-to-month,True,False,Fiber Optic,True,False,False,False,False,False,True,False,False,Bank Transfer(automatic),13.01149229,137.439154,1196.388018
Two Year,True,True,Fiber Optic,True,True,True,False,False,True,True,False,True,Bank Transfer(automatic),16.87922024,184.971516,1948.694497
Month-to-month,False,False,DSL,False,True,False,True,False,True,False,False,True,Bank Transfer(automatic),10.06019902,159.965581,1582.295235
One year,False,False,None,True,False,True,False,False,False,True,True,True,Electronic Check,13.87001293,177.65076,1840.014467
Month-to-month,True,False,DSL,True,True,False,True,True,False,False,True,True,Bank Transfer(automatic),15.78214958,194.966286,2070.376729
Two Year,False,False,None,True,False,True,False,True,True,True,True,False,Mailed Check,2.303331273,202.682861,882.0985933
Two Year,True,False,None,True,False,False,True,True,True,True,False,True,Bank Transfer(automatic),17.10995632,152.490739,1833.0967
Month-to-month,True,False,DSL,True,True,False,False,False,False,True,False,True,Credit Card (automatic),12.80615845,149.944668,1954.080809
Month-to-month,False,False,Fiber Optic,True,False,True,True,True,False,False,True,True,Bank Transfer(automatic),20.45390977,184.978458,2330.319383
Two Year,False,True,Fiber Optic,True,False,True,False,True,False,False,False,False,Bank Transfer(automatic),2.415991977,127.495766,594.1054279
Month-to-month,False,False,Fiber Optic,True,False,False,False,False,True,False,False,True,Electronic Check,6.652298992,124.964303,713.0633088
One year,True,False,Fiber Optic,True,False,False,False,False,True,True,False,True,Electronic Check,8.543717478,149.948316,945.3802928
Month-to-month,False,True,None,True,True,True,False,True,False,False,True,False,Credit Card (automatic),5.770390256,162.511928,870.76398
Month-to-month,False,True,DSL,True,False,False,False,False,False,False,False,False,Bank Transfer(automatic),4.157658837,92.455141,774.2937069
Month-to-month,True,False,Fiber Optic,True,False,True,False,True,False,True,True,False,Mailed Check,10.40566091,222.649979,1506.446527
Month-to-month,True,False,None,True,False,False,True,True,False,True,False,True,Electronic Check,1.392421597,139.981577,419.0508708
One year,False,False,DSL,True,False,False,False,True,False,True,True,False,Bank Transfer(automatic),1.430386349,200.132293,1259.415493
Two Year,False,True,DSL,True,True,True,True,True,False,True,True,True,Credit Card (automatic),5.425864884,257.651257,1745.125956
Two Year,True,False,Fiber Optic,False,False,False,True,False,False,True,True,True,Credit Card (automatic),11.08287797,230.105118,1795.465729
Two Year,False,True,None,True,True,False,True,False,True,False,False,False,Electronic Check,3.586184954,147.489301,492.4771472
Month-to-month,True,True,Fiber Optic,True,False,False,True,False,False,True,True,True,Electronic Check,4.727388465,230.105118,1013.993166
Month-to-month,False,False,DSL,True,True,True,True,False,False,True,False,False,Electronic Check,20.89923386,174.958118,2680.762173
One year,True,False,Fiber Optic,True,True,True,False,True,True,True,True,False,Mailed Check,3.471329958,267.664655,1081.814362
Month-to-month,True,False,DSL,True,True,True,True,False,True,False,False,True,Mailed Check,5.478588204,162.483267,1209.961168
Month-to-month,True,False,Fiber Optic,True,True,True,True,True,True,False,True,True,Credit Card (automatic),3.312991809,229.993134,897.5919144
One year,True,True,DSL,True,True,True,False,True,False,False,False,True,Electronic Check,7.161561527,140.00128,1340.930156
Two Year,True,False,Fiber Optic,True,False,True,True,False,True,False,True,False,Credit Card (automatic),9.847563364,184.964681,1113.993679
Two Year,True,False,Fiber Optic,True,False,False,True,True,False,False,False,False,Electronic Check,16.04202196,147.473844,1530.10769
Month-to-month,False,False,Fiber Optic,True,False,False,True,True,False,True,False,True,Mailed Check,9.179779682,172.457857,1310.137419
Month-to-month,True,False,DSL,True,False,True,False,False,True,False,False,True,Electronic Check,3.002844144,107.481989,892.8964931
Two Year,True,False,Fiber Optic,True,True,True,False,False,True,True,True,False,Credit Card (automatic),3.924254455,255.141716,1125.581944
Two Year,True,True,Fiber Optic,True,True,False,False,False,True,False,True,True,Electronic Check,18.55959629,192.456745,2016.710031
Two Year,True,False,Fiber Optic,True,True,True,False,False,False,True,True,True,Credit Card (automatic),8.798394712,242.632554,1412.736809
Month-to-month,True,True,None,True,True,True,True,True,False,True,True,True,Electronic Check,10.377366,245.174977,1710.689671
