Contract,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,InternetService_Fiber Optic,InternetService_nan,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
12,1,1,1,0,1,1,0,0,0,1,1,0.08162441612754492,172.455519,0.1069511085803212,1,0,1,0,0
1,0,1,1,1,1,0,0,0,1,1,1,0.0022031523188055214,242.632554,0.09216511350895278,1,0,0,0,0
24,1,0,1,1,0,0,0,0,0,1,1,0.20780405987081682,159.947583,0.27117970669046576,0,0,1,0,0
24,0,0,1,0,1,0,0,0,1,0,1,0.22658012928146212,119.95684,0.2868679834244005,0,0,0,0,1
1,1,0,0,0,0,0,0,1,1,0,0,0.009446783628353222,149.948316,0.016561310558048714,1,0,0,0,1
12,1,0,1,1,1,1,1,0,0,1,0,0.08451854911825202,185.007692,0.12620182002821403,0,1,0,1,0
1,0,0,1,0,0,0,0,1,1,1,0,0.17234765150632433,200.118516,0.2501238747083258,0,0,0,1,0
1,0,0,0,0,0,1,0,0,0,0,1,0.04597240609318569,114.950905,0.11767101542385795,0,0,0,0,1
1,1,0,1,0,1,1,0,0,0,0,1,0.10169755816178325,117.468591,0.16525628773421222,0,0,0,0,0
24,1,0,1,0,1,0,1,0,0,1,1,0.03411070711239301,162.482694,0.050440257989263854,1,0,0,0,1
1,0,0,1,1,1,1,0,0,1,0,0,0.2572852756304484,174.958118,0.36742634507874855,0,0,0,0,1
1,1,0,1,0,0,0,1,0,1,0,0,0.1341108423959492,149.962093,0.14636763895762311,1,0,0,1,0
1,1,0,1,0,0,0,0,0,1,0,0,0.16917462858423601,137.439154,0.1486235519746458,1,0,0,0,0
24,1,1,1,1,1,0,0,1,1,0,1,0.22365042154653292,184.971516,0.25604258307721084,1,0,0,0,0
1,0,0,0,1,0,1,0,1,0,0,1,0.1276065443689178,159.965581,0.20372580152688888,0,0,0,0,0
12,0,0,1,0,1,0,0,0,1,1,1,0.18126663537558718,177.65076,0.24052456768232056,0,1,0,1,0
1,1,0,1,1,0,1,1,0,0,1,1,0.2081985089736307,194.966286,0.2734171343122502,0,0,0,0,0
24,0,0,1,0,1,0,1,1,1,1,0,0.018353378974622043,202.682861,0.10374733938116552,0,1,0,0,1
24,1,0,1,0,0,1,1,1,1,0,1,0.22690027031705257,152.490739,0.2395368055810011,0,1,0,0,0
1,1,0,1,1,0,0,0,0,1,0,1,0.16628256277697226,149.944668,0.25681167444144476,0,0,1,0,0
1,0,0,1,0,1,1,1,0,0,1,1,0.27399885588788064,184.978458,0.3105333745871254,1,0,0,0,0
24,0,1,1,0,1,0,1,0,0,0,0,0.01994017134094931,127.495766,0.06262587139573726,1,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,1,0.0796072903465314,124.964303,0.0796114227168928,1,0,0,1,0
12,1,0,1,0,0,0,0,1,1,0,1,0.10624735479273863,149.948316,0.11278309679727795,1,0,0,1,0
1,0,1,1,1,1,0,1,0,0,1,0,0.06718586920857958,162.511928,0.10212891230045411,0,1,1,0,0
1,0,1,1,0,0,0,0,0,0,0,0,0.04447102886278037,92.455141,0.08835428247089784,0,0,0,0,0
1,1,0,1,0,1,0,1,0,1,1,0,0.13247227190696859,222.649979,0.19289564792436836,1,0,0,0,1
1,1,0,1,0,0,1,1,0,1,0,1,0.005523488258774527,139.981577,0.037630485288248146,0,1,0,1,0
